course,period,url,note
Logic for Computer Science,2019-2024,https://onderwijsaanbod.kuleuven.be/syllabi/v/e/G0T42DE.htm,"Teaching exercise sessions on the foundations of logic. Besides providing an introduction to predicate logic, this course teaches students to make precise statements and perform formal reasoning."
Database Systems,2018-2020,https://onderwijsaanbod.kuleuven.be/syllabi/v/e/H01O9AE.htm,"Teaching exercise sessions about databases. This course explains the basic principles behind a database, touching upon concepts such as relational algebra, relational calculus, writing SQL queries, etc."
